language,English,German,French,Spanish,Ukranian,Russian,Japanese,Chinese,Korean
Settings,Settings,Einstellungen,Paramètres,Configuración,Налаштування,Настройки,設定,设置,설정
play,Play,Spielen,jouer,jugar,грати,играть,遊ぶ,玩,놀다
HowTo,How to Play,Wie man spielt,Comment jouer,Cómo jugar,Як грати,Как играть,プレイ方法,如何玩,어떻게 플레이하는지
Hide,Hide,Verstecken,cacher,esconder,ховатися,прятаться,隠す,隐藏,숨기다
Back,Back,Zurück,retour,atrás,назад,Назад,戻る,返回,돌아가다
Exit,Exit,Beenden,terminer,terminar,закінчити,завершить,終了する,结束,종료하다
GoBack,Go Back,Zurück,retour,regresar,назад,назад,戻る,回来,돌아가다
FreedomUnits_0,Unit: Celsius,Einheit: Celsius,unité : Celsius,unidad: Celsius,Цельсій,единица: Цельсий,セルシウス,单位：摄氏度,섭씨
FreedomUnits_1,Unit: Fahrenheit,Einheit: Fahrenheit,Fahrenheit,Fahrenheit,Фаренгейт,Фаренгейт,ファーレンハイト,华氏度,화씨
hideTalk_0,Disabled while hiding,Deaktiviert während verstecken,Désactivé pendant la cachette,Desactivado durante el ocultamiento,деактивовано під час ховання,Отключено во время скрытия,隠れている間に無効化,在隐藏期间禁用,숨길 때 비활성화됨
hideTalk_1,Enabled while hiding,Aktiviert während verstecken,Activé pendant la cachette,Activado durante esconder,активувати під час схову,Активировано во время скрытия,隠れている間に有効化,在隐藏期间激活,숨기는 동안 활성화됨
pushTalk_0,Push To Talk: Off,Push To Talk: Aus,Appuyer pour parler : Éteint,Presionar para hablar: Apagado,Push To Talk: Вимкнено,Выключить,プッシュトゥトーク：オフ,按下说话：关闭,푸시 투 토크: 꺼짐
pushTalk_1,Push To Talk: On,Push To Talk: An,Appuyer pour parler : Allumé,Presionar para hablar: Encendido,"Натисніть, щоб говорити","Нажми, чтобы говорить",プッシュトゥトーク：オン,按下说话：开启,푸시 투 토크: 켜짐
Quality_0,Quality: Low,Qualität: Niedrig,Qualité : Basse,Calidad: Baja,якість: низька,Качество: Низкое,品質：低い,质量：低,품질: 낮음
Quality_1,Quality: Medium,Qualität: Mittel,Qualité : Moyenne,Calidad: Media,Якість: Середня,качество: среднее,品質：中,品质：中等,품질: 중간
Quality_2,Quality: High,Qualität: Hoch,Qualité: Élevée,Calidad: Alta,Якість: Висока,качество: высокое,品質：高い,质量：高,품질: 높음
Quality_3,Quality: Ultra,Qualität: Ultra,Qualité: Ultra,Calidad: Ultra,Якість: Ультра,качество: ультра,品質: ウルトラ,质量：超,품질: 울트라
Screen_0,Screen: Fullscreen,Bildschirm: Vollbild,écran: plein écran,pantalla: pantalla completa,екран: повний екран,экран: полноэкранный,画面: フルスクリーン,屏幕：全屏,화면: 전체 화면
Screen_1,Screen: Windowed,Bildschirm: Fenster,écran: fenêtre,pantalla: ventana,екран: вікно,экран: окно,画面：ウィンドウ,屏幕：窗口,화면: 창
money,Money,Geld,argent,dinero,гроші,деньги,お金,金钱,돈
level,Level,Level,niveau,Nivel,рівень,уровень,レベル,等级,레벨
photos,Photos,Fotos,photos,fotos,фотографії,фотографии,写真,照片,사진
to,to,zu,à,a,до,к,へ,到,에
from,from,von,de,de,від,от,フォン,从,에서
of,of,von,sur,en,на,на,上,在,의
SelectYourMission,Select your mission,Wähle deine Mission,Choisis ta mission,Elige tu misión,Обери свою місію,Выбери свою миссию,ミッションを選んでください,选择你的任务,미션을 선택하세요
StartMission,Start mission,Mission starten,Démarrer la mission,iniciar misión,розпочати місію,начать миссию,ミッションを開始する,开始任务,미션 시작하기
RequiredLevel,Required level,Benötigt level,niveau requis,Nivel requerido,потрібен рівень,Требуется уровень,必要なレベル,需要等级,필요한 레벨
MapInfo,Map info,Karteninfo,informations sur la carte,información del mapa,інформація про карту,информация о карте,カード情報,卡片信息,카드 정보
difficulty_0,Amateur,Amateur,amateur,aficionado,аматор,любитель,アマチュア,业余,아마추어
difficulty_1,Intermediate,Mittelstufe,niveau intermédiaire,nivel intermedio,середній рівень,средний уровень,中級,中级,중급
difficulty_2,Professional,Professionell,professionnel,profesional,професійний,профессиональный,プロフェッショナル,专业,전문적인
difficulty_3,Nightmare,Alptraum,cauchemar,pesadilla,кошмар,кошмар,悪夢,噩梦,악몽
difficulty_4,Game Journalist,Spiele Journalist,journaliste de jeux vidéo,periodista de videojuegos,ігровий журналіст,игровой журналист,ゲームジャーナリスト,游戏记者,게임 저널리스트
not_selected,not selected,nicht ausgewählt,non sélectionné,no seleccionado,не вибрано,не выбрано,選択されていない,未选择,선택되지 않음
a_single,a,ein,un,uno,один,один,一つ,一个,하나
task,Task,Aufgabe,tâche,tarea,завдання,задание,課題,任务,과제
task_1,Detect the ghost type,Erkennen des Geistertyps,Reconnaissance du type spectre,Reconocimiento del tipo fantasma,Розпізнавання типу привида,определение типа призрака,ゴーストタイプを認識する,识别幽灵类型,유령 유형 인식
task_completed,Task completed,Aufgabe beendet,Tâche terminée,tarea terminada,завдання завершено,Задача завершена,タスク完了,任务完成,임무 완료
task_not_completed,Task not done,Aufgabe nicht erledigt,Tâche non accomplie,Tarea no completada,завдання не виконано,Задание не выполнено,タスク未完了,任务未完成,업무 미완료
your_suspected_ghost,Your suspected ghost was,Ihr vermuteter Geist war,Votre esprit suspect était,Su supuesto espíritu era,їх передбачуваний дух був,Их предполагаемый дух был,彼らが思い込んでいた幽霊でした,他们怀疑的精神是,그들이 생각한 유령은
it_was_ghost,It was actually a,Es war eigentlich ein,C'était en fait un,En realidad era un,Це було насправді,Это было на самом деле,それは実際には一つでした,其实是一个,사실 그것은
mission_basic,Find enough evidence to identify the ghost type,"Finden Sie genügend Beweise, um den Geistertyp zu identifizieren",Trouvez suffisamment de preuves pour identifier le type spectre,Encuentra suficientes pruebas para identificar el tipo fantasma,"Знайдіть достатньо доказів, щоб ідентифікувати тип привида","Найдите достаточно доказательств, чтобы идентифицировать тип призрака",幽霊タイプを特定するのに十分な証拠を見つけてください,找到足够的证据来识别幽灵类型,유령 유형을 식별하기 위한 충분한 증거를 찾으십시오
mission_0,Find evidence of a murder,Beweise für einen Mord finden,trouver des preuves d'un meurtre,encontrar pruebas de un asesinato,знайти докази вбивства,найти доказательства убийства,殺人の証拠を見つける,找到谋杀的证据,살인 증거를 찾다
you_died,You died,Du bist gestorben,Tu es mort,Has muerto,Ти помер,Ты умер,あなたは死んだ,你死了,죽었어요
progress_level,Progress to next Level,Fortschritt zum nächsten Level,Progression au niveau suivant,Progreso al siguiente nivel,прогрес до наступного рівня,Прогресс до следующего уровня,次のレベルへの進歩,进入下一级,다음 레벨로 진행
UpgradeInfo_0,"Using ""More memory"", you can take 6 pictures instead of 3.","Wenn Sie ""Mehr Speicher"" verwenden, können Sie 6 statt 3 Bilder aufnehmen.","Si vous utilisez 'plus de mémoire', vous pouvez prendre 6 images au lieu de 3.","Si utiliza 'Más memoria', puede tomar 6 en lugar de 3 imágenes.","Якщо ви використовуєте «Більше пам'яті», ви можете зробити 6 замість 3 зображень.","Если вы используете «Больше памяти», вы можете сделать 6 вместо 3 изображений.",もっとメモリを,如果您使用“更多存储”，您可以拍摄6张而不是3张照片。,더 많은 저장공간을 사용하면 사진을 3장이 아니라 6장 찍을 수 있습니다.
UpgradeInfo_1,"Using ""Advanced detection"" it is possible to detect hunts earlier.","Mit der ""Erweiterten Erkennung"" ist es möglich, Jagden früher zu erkennen.","Avec la 'Détection Avancée', il est possible de détecter les chasses plus tôt.","Con la 'Detección Avanzada', es posible reconocer cacerías más temprano.","За допомогою ""Розширеного виявлення"" можливо виявити полювання раніше.",С помощью «Расширенного обнаружения» возможно раньше обнаруживать охоты.,「拡張検出」により、狩りを早期に検出することが可能です。,通过“高级侦测”，可以更早地识别狩猎。,「확장된 탐지」를 사용하면 사냥을 보다 일찍 감지할 수 있습니다.
UpgradeInfo_2,"Using ""Faster movement"" you can rotate the camera faster.","Mit ""Schnellere Bewegung"" können Sie die Kamera schneller drehen.","Avec 'Mouvement rapide', vous pouvez tourner la caméra plus rapidement.",Con 'Movimiento más rápido' puedes girar la cámara más rápido.,За допомогою «Швидший рух» ви можете швидше обертати камеру.,С помощью «Быстрое движение» вы можете быстрее вращать камеру.,「高速移動」を使うと、カメラをより速く回転させることができます。,使用“更快的移动”可以更快地旋转相机。,더 빠른 이동을 사용하면 카메라를 더 빠르게 회전할 수 있습니다.
UpgradeInfo_3,"Using ""EMF5 Sound"" you will hear a sound when EMF5 is detected.","Mit ""EMF5 Sound"" hören Sie einen Ton, wenn EMF5 erkannt wird.","Avec 'EMF5 Sound', vous entendrez un son lorsque EMF5 est détecté.",Sonido EMF5,"За допомогою «EMF5 Sound» ви почуєте звук, коли буде виявлено EMF5.","С помощью «EMF5 Sound» вы услышите звук, когда будет обнаружен EMF5.",「EMF5サウンド」では、EMF5が検出されたときに音が鳴ります。,EMF5声音,EMF5 소리
UpgradeInfo_4,"Using ""Faster Exorcism"" you can perform exorcism faster again","Mit ""Schnellerer Exorzismus"" können Sie den Exorzismus wieder schneller durchführen","Avec 'Exorcisme plus rapide', vous pouvez réaliser à nouveau l'exorcisme plus rapidement","Con 'Exorcismo más rápido', puedes realizar el exorcismo de nuevo más rápidamente",За допомогою «Швидшого екзорцизму» ви можете знову проводити екзорцизм швидше,С помощью «Быстрее экзорцизм» вы можете проводить экзорцизмы быстрее,「より速いエクソシズム」を使えば、エクソシズムをより速く実行できます,用“更快的驱魔”可以让您更快地进行驱魔,더 빠른 의식으로 당신은 의식을 다시 더 빨리 수행할 수 있습니다
mission_name_0,Fisherman's House,Fisherman's House,Maison de pêcheur,Casa del Pescador,Будинок рибалки,Дом рыбака,漁師の家,渔夫的房子,어부의 집
mission_info_0,"The fisherman's house used to be a place where many people were kidnapped.<br>There is a legend that only once a person survived, since then no other cases of kidnapping are known.","Das Haus des Fischers war früher ein Ort, an dem viele Menschen entführt wurden.<br>Es gibt eine Legende, dass nur einmal eine Person überlebt hat, seitdem sind keine weiteren Entführungsfälle bekannt.","La maison du pêcheur était auparavant un lieu où de nombreuses personnes étaient enlevées. Il existe une légende selon laquelle seulement une personne a survécu une fois, depuis lors, aucun autre cas d'enlèvement n'est connu.","La casa del pescador era antes un lugar donde muchas personas eran secuestradas. Hay una leyenda que dice que solo una vez una persona sobrevivió, desde entonces no se conocen más casos de secuestro.","Будинок рибалки колись був місцем, де багато людей було викрадено. Є легенда, що лише одна особа вижила одного разу, з тих пір не відомо про інші випадки викрадення.","Дом рыбака раньше был местом, где похищали многих людей. Существует легенда, что только один человек выжил, после чего больше случаев похищения не известно.",漁師の家は以前、多くの人々が誘拐された場所でした。伝説によると、一度だけ人が生き残り、それ以降、他の誘拐事件は知られていません。,渔夫的房子以前是一个绑架了许多人的地方。有一个传说，只有一次一个人生还，自那以后就没有其他的绑架案件了。,"어부의 집은 예전에 많은 사람들이 납치되었던 장소였습니다. 전설에 따르면 한 사람만이 살아남았고, 그 이후로는 더 이상의 납치 사건이 알려지지 않았습니다."
mission_name_1,Mental Hospital,Nervenklinik,clinique psychiatrique,clínica neurológica,психіатрична лікарня,психиатрическая больница,神経科病院,神经病院,정신병원
mission_info_1,"The mental hospital has been closed for years, there are rumors that the spirits of abandoned souls wander through there.","Die Nervenheilanstalt ist seit Jahren geschlossen, und es gibt Gerüchte, dass dort die Geister der verlassenen Seelen umherwandern.","L'asile est fermé depuis des années, et il y a des rumeurs que les esprits des âmes abandonnées errent là-bas.","El hospital psiquiátrico ha estado cerrado durante años, y hay rumores de que los fantasmas de las almas abandonadas deambulan por allí.","Психіатрична лікарня закрита вже багато років, і є чутки, що там блукають духи покинутих душ.","Психиатрическая больница закрыта уже много лет, и ходят слухи, что там бродят духи оставленных душ.",精神病院は何年も前に閉鎖され、その場所には見捨てられた魂の幽霊がさまよっているという噂があります。,这家神经病院已经关闭多年了，有传言说那里徘徊着被遗弃灵魂的鬼魂。,"정신병원은 수년 동안 폐쇄되었으며, 버려진 영혼들의 유령이 그곳을 배회한다는 소문이 있습니다."
mission_name_2,Japanese Gym,Japanische Turnhalle,gymnase japonais,gimnasio japonés,японський спортзал,японский спортзал,日本の体育館,日本体育馆,일본 체육관
mission_info_2,There are rumors that strange things happen in this Gym at night.,"Es gibt Gerüchte, dass in dieser Turnhalle nachts seltsame Dinge passieren.",Il y a des rumeurs que des choses étranges se passent dans ce gymnase la nuit.,Hay rumores de que cosas extrañas suceden en este gimnasio por la noche.,"Ходять чутки, що в цьому спортзалі вночі відбуваються дивні речі.","Есть слухи, что в этом спортзале ночью происходят странные вещи.",この体育館では夜に奇妙なことが起こるという噂があります。,有传言说，这个体育馆在夜间会发生奇怪的事情。,이 체육관에서는 밤에 이상한 일이 일어난다는 소문이 있습니다.
mission_name_3,Country House,Landhaus,maison de campagne,casa rural,сільський будинок,деревенский дом,カントリーハウス,乡村别墅,시골집
mission_info_3,"This country house is located far from any civilization. The existence of this house was unknown for a long time, and when it was found no one lived there.","Dieses Landhaus liegt weitab von jeglicher Zivilisation. Die Existenz dieses Hauses war lange Zeit unbekannt, und als es gefunden wurde, lebte dort niemand.","Cette maison de campagne est située loin de toute civilisation. L'existence de cette maison était inconnue pendant longtemps, et lorsqu'elle a été découverte, il n'y avait personne.","Esta casa de campo está lejos de cualquier civilización. La existencia de esta casa fue desconocida por mucho tiempo, y cuando fue encontrada, no vivía nadie allí.","Цей сільський будинок розташований далеко від будь-якої цивілізації. Існування цього будинку довгий час було невідомим, і коли його знайшли, там ніхто не жив.","Этот загородный дом находится вдали от любой цивилизации. Существование этого дома долгое время оставалось неизвестным, и когда его нашли, там никто не жил.",このカントリーハウスは、あらゆる文明から遠く離れた場所にあります。この家の存在は長い間知られておらず、発見された時には誰も住んでいませんでした。,这座乡间小屋远离任何文明。这所房子长时间以来一直未被人知晓，当它被发现时，没有人居住在那里。,"이 시골집은 어떠한 문명과도 멀리 떨어져 있습니다. 이 집의 존재는 오랫동안 알려지지 않았으며, 발견되었을 때는 아무도 살고 있지 않았습니다."
select_guessed_ghost,Choose your guessed ghost,Wähle deinen erratenen Geist,Choisis ton esprit deviné,Elige tu espíritu adivinado,Обери свій вигаданий дух,Выбери своего догаданного духа,推測された霊を選んでください,选择你猜测的精神,선택하세요 당신의 추측한 영혼
ghost_info_0,Select a Ghost to show information,"Wählen Sie einen Geist, um Informationen anzuzeigen",Sélectionnez un esprit pour afficher des informations,Seleccione un espíritu para mostrar información,"Виберіть духа, щоб показати інформацію","Выберите духа, чтобы отобразить информацию",情報を表示するために霊を選択してください,选择一个精灵以显示信息,정보를 표시하려면 유령을 선택하세요.
ghost_info_Poltergeist,"A Poltergeist is a type of spirit that is known for making loud noises and moving or destroying objects. The earliest claims of poltergeists are from the 1st century, but they became more common in the early 1600s. The word poltergeist comes from the German words poltern (""to make sound"" and ""to rumble"") and Geist (""ghost"" and ""spirit""), and it means ""noisy ghost"" or ""loud spirit.""","Ein Poltergeist ist eine Art Geist, der dafür bekannt ist, laute Geräusche zu machen und Gegenstände zu bewegen oder zu zerstören. Die frühesten Berichte über Poltergeister stammen aus dem 1. Jahrhundert, aber sie wurden Anfang des 16. Das Wort Poltergeist setzt sich aus den deutschen Wörtern poltern (""Geräusche machen"" und ""rumpeln"") und Geist (""Gespenst"" und ""Geist"") zusammen und bedeutet ""lärmender Geist"" oder ""lauter Geist"".","Un poltergeist est un type d'esprit connu pour faire des bruits forts et pour déplacer ou détruire des objets. Les premiers rapports sur les poltergeists datent du 1er siècle, mais ils ont été documentés plus en détail au début du 16ème siècle. Le mot poltergeist est formé à partir des mots allemands poltern (""faire du bruit"" et ""rouler"") et Geist (""fantôme"" et ""esprit""), et signifie ""esprit bruyant"" ou ""esprit sonore"".","Un poltergeist es un tipo de espíritu que es conocido por hacer ruidos fuertes y mover o destruir objetos. Los primeros informes de poltergeists datan del siglo I, pero se hicieron más conocidos a principios del siglo XVI. La palabra Poltergeist proviene de las palabras alemanas poltern ('hacer ruido' y 'retumbar') y Geist ('fantasma' y 'espíritu'), y significa 'espíritu ruidoso' o 'espíritu ruidoso'.","Полтергейст - це вид духа, відомий тим, що він видає гучні звуки та переміщує або знищує предмети. Найраніші звіти про полтергейсти датуються першим століттям, але вони набули популярність на початку 16 століття. Слово 'Полтергейст' походить від німецьких слів полтерн ('робити шум' та 'гриміти') і гайст ('привид' та 'дух'), що означає 'шумний дух' або 'гучний дух'.","Полтергейст - это вид духа, известного тем, что он издает громкие звуки и перемещает или разрушает предметы. Первые сообщения о полтергейстах появились в 1 веке, но они были особенно заметны в начале 16 века. Слово полтергейст образовано от немецких слов poltern («шуметь» и «греметь») и Geist («призрак» и «дух»), и означает «шумный дух» или «громкий дух».",ポルターガイストは、騒音を発したり物を動かしたり壊したりすることで知られている一種の霊です。ポルターガイストに関する最初の報告は1世紀から存在していますが、16世紀初頭に広まりました。ポルターガイストという言葉は、ドイツ語の「poltern」（「音を立てる」、「ゴトゴトと動く」の意）と「Geist」（「幽霊」、「霊」の意）から成り、「騒がしい霊」や「うるさい霊」を意味します。,一个骚灵是一种以制造噪音和移动或破坏物品而闻名的鬼魂。关于骚灵的最早报告可以追溯到第一世纪，但它们在16世纪初开始更广为人知。‘骚灵’这个词是由德语词汇‘poltern’（制造噪音、轰隆声）和‘Geist’（幽灵、鬼魂）组合而成，意味着‘吵闹的灵魂’或‘吵闹的鬼魂’。,"폴터가이스트는 소음을 내고 물건을 움직이거나 파괴하는 것으로 알려진 일종의 귀신입니다. 폴터가이스트에 대한 가장 초기의 보고는 1세기에 나타났지만, 16세기 초에 더 잘 알려지게 되었습니다. 폴터가이스트라는 단어는 독일어로 '소리를 내다' 및 '폴짝거리다'라는 뜻의 'poltern'과 '귀신' 또는 '정령'을 의미하는 'Geist'가 합쳐져 '시끄러운 귀신' 또는 '소란스러운 귀신'을 의미합니다."
ghost_info_Dvorovoi,"A Dvorovoi is a East Slavic spirit. The Dvorovoi ruled over farming lands, cattle sheds and stables. Some people believed that he was a substitute for the Domovoi because of his functions and characteristics. The Dvorovoi was considered less kind than the Domovoi. ","Ein Dvorovoi ist ein ostslawischer Geist. Der Dvorovoi herrschte über Ackerland, Viehställe und Ställe. Manche Menschen glaubten, dass er aufgrund seiner Funktionen und Eigenschaften ein Ersatz für den Domovoi war. Der Dvorovoi galt als weniger gütig als der Domovoi. ","Un Dvorovoi est un esprit est-slave. Le Dvorovoi régnait sur les terres agricoles, les étables et les écuries. Certaines personnes croyaient qu'il était un substitut au Domovoi en raison de ses fonctions et de ses caractéristiques. Le Dvorovoi était considéré comme moins bienveillant que le Domovoi.","Un Dvorovoi es un espíritu eslavo oriental. El Dvorovoi gobernaba sobre tierras de cultivo, establos y graneros. Algunas personas creían que debido a sus funciones y características, era un sustituto del Domovoi. El Dvorovoi se consideraba menos benévolo que el Domovoi.","Дворовий — це східнослов'янський дух. Дворовий володарював над сільськогосподарськими угіддями, хлівами та стайнями. Деякі люди вірили, що через свої функції та властивості він був заміною для Домового. Дворовий вважався менш милосердним, ніж Домовий.","Дворовой - это восточнославянский дух. Дворовой властвовал над пашней, скотными дворами и стойлами. Некоторые люди считали, что он из-за своих функций и характеристик заменял Домового. Дворовой считался менее добрым, чем Домовой.",ドヴォロヴォイは東スラブの霊です。ドヴォロヴォイは農地、家畜小屋、および厩舎を支配していました。ある人々は、彼の機能と特性により、ドモヴォイの代わりであったと信じていました。ドヴォロヴォイはドモヴォイよりも優しさが少ないとされていました。,多沃沃伊是东斯拉夫的一种精神。它统治着农田、牲畜棚和马棚。,"Dvorovoi는 동슬라브의 영혼입니다. Dvorovoi는 농지, 가축우리 및 마구간을 지배했습니다. 어떤 사람들은 그의 기능과 특성 때문에 그가 Domovoi의 대체물이었다고 믿었습니다. Dvorovoi는 Domovoi보다 덜 자비로운 것으로 여겨졌습니다."
ghost_info_Jinn,"A Jinn is a spiritual entity created from ""smokeless fire,"" which possesses intellect and inhabits the world along with humans, satans, and angels. Only in rare situations jinns become visible to people.","Ein Dschinn ist ein geistiges Wesen, das aus „rauchlosem Feuer“ erschaffen wurde, einen Verstand besitzt und zusammen mit Menschen, Satanen und Engeln die Welt bewohnt. Nur in seltenen Situationen werden Dschinns für die Menschen sichtbar.","Un djinn est un être spirituel créé à partir d’un 'feu sans fumée', doué d'intelligence, et qui habite le monde avec les humains, les satans et les anges. Seulement dans des situations rares, les djinns deviennent visibles pour les humains.","Un djinn es un ser espiritual que fue creado de 'fuego sin humo', posee una mente y habita el mundo junto con humanos, satanes y ángeles. Solo en situaciones raras se hacen visibles los djinns para los humanos.","Джинн - це духовна істота, яка була створена з «бездимного вогню», має розум і разом з людьми, сатанами та ангелами населяє світ. Лише у рідкісних ситуаціях джинни стають видимими для людей.","Джинн - это духовное существо, созданное из 'бездымного огня', обладающее разумом и населяющее мир вместе с людьми, сатанами и ангелами. Только в редких ситуациях джинны становятся видимыми для людей.",ジンは「無煙の火」から創造された精神的な存在で、知性を持ち、人間、悪魔、天使と共にこの世を共有しています。ジンが人間に見えるのは稀な状況でのみです。,神灵是一种由“无烟之火”创造出来的精神存在，拥有思想，并与人类、撒旦和天使一起居住在世界上。只有在罕见的情况下，人们才能看到神灵。,"진은 '연기 없는 불'에서 창조된 정신적인 존재로, 마음을 가지고 있으며 사람들, 사탄, 천사들과 함께 세계를 살아갑니다. 드물게 진이 사람들에게 보이는 경우가 있습니다."
ghost_info_Moroi,A Moroi is a spirit from Romanian folklore. A female moroi is called moroaica. Some visions suggest that a moroi is a spirit of a dead person who leaves the grave to draw energy from the living.,"Ein Moroi ist ein Geist aus der rumänischen Folklore. Ein weiblicher Moroi wird Moroaica genannt. Einige Visionen legen nahe, dass ein Moroi der Geist eines Toten ist, der das Grab verlässt, um den Lebenden Energie zu entziehen.",Un Moroi est un esprit de la folklore roumaine. Une Moroi féminine est appelée Moroaica. Certaines visions suggèrent qu'un Moroi est l'esprit d'un mort qui quitte la tombe pour drainer l'énergie des vivants.,Un Moroi es un espíritu de la folklore rumana. A un Moroi femenino se le llama Moroaica. Algunas visiones sugieren que un Moroi es el espíritu de un muerto que abandona la tumba para drenar energía de los vivos.,"Морой - це дух з румунського фольклору. Жіночий Морой називається Мороаїка. Деякі видіння вказують на те, що Морой - це дух померлого, який залишає могилу, щоб відбирати енергію у живих.","Морой - это дух из румынской фольклора. Женщина-морой называется Морояка. Некоторые видения предполагают, что морой - это дух умершего, который покидает могилу, чтобы отнимать энергию у живых.",モロイはルーマニアの民話に出る霊です。女性のモロイはモロアイカと呼ばれます。あるビジョンによれば、モロイは墓を出て生者からエネルギーを奪う死者の霊であるとされています。,摩洛伊是罗马尼亚民间传说中的一种鬼魂。女性的摩洛伊被称为摩洛伊卡。一些说法表明，摩洛伊是一种死者的灵魂，它会离开坟墓来吸取活人的能量。,모로이는 루마니아 민속 전설에서 나오는 귀신입니다. 여성 모로이는 모로아이카라고 불립니다. 일부 비전은 모로이가 무덤을 떠나 산자의 에너지를 빼앗는 죽은 자의 영혼이라고 제안합니다.
